genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
spneumoniae	pseudosimplitigsAC	5	1	default	512	524	512	12	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_default
spneumoniae	pseudosimplitigsAC	5	1	ones	512	524	520	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_ones
spneumoniae	pseudosimplitigsAC	5	1	runs	512	524	520	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_runs
spneumoniae	pseudosimplitigsAC	5	1	zeros	512	524	512	12	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_1.M_zeros
spneumoniae	pseudosimplitigsAC	5	2	default	512	524	512	12	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_default
spneumoniae	pseudosimplitigsAC	5	2	ones	512	524	520	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_ones
spneumoniae	pseudosimplitigsAC	5	2	runs	512	524	520	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_runs
spneumoniae	pseudosimplitigsAC	5	2	zeros	512	524	512	12	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_2.M_zeros
spneumoniae	pseudosimplitigsAC	5	3	default	512	524	512	12	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_default
spneumoniae	pseudosimplitigsAC	5	3	ones	512	524	520	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_ones
spneumoniae	pseudosimplitigsAC	5	3	runs	512	524	520	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_runs
spneumoniae	pseudosimplitigsAC	5	3	zeros	512	524	512	12	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_3.M_zeros
spneumoniae	pseudosimplitigsAC	5	4	default	512	522	512	10	3	308	80	388	320	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_default
spneumoniae	pseudosimplitigsAC	5	4	ones	512	522	518	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_ones
spneumoniae	pseudosimplitigsAC	5	4	runs	512	522	518	4	1	308	76	384	312	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_runs
spneumoniae	pseudosimplitigsAC	5	4	zeros	512	522	512	10	4	308	84	392	316	spneumoniae.S_pseudosimplitigsAC.k_5.d_4.M_zeros
spneumoniae	pseudosimplitigs	6	1	default	2080	2285	2080	205	41	660	140	800	744	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_default
spneumoniae	pseudosimplitigs	6	1	ones	2080	2285	2280	5	1	660	88	748	664	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_ones
spneumoniae	pseudosimplitigs	6	1	runs	2080	2285	2280	5	1	660	88	748	664	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_runs
spneumoniae	pseudosimplitigs	6	1	zeros	2080	2285	2080	205	62	660	184	844	760	spneumoniae.S_pseudosimplitigs.k_6.d_1.M_zeros
spneumoniae	pseudosimplitigs	6	2	default	2080	2259	2080	179	75	672	192	864	752	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_default
spneumoniae	pseudosimplitigs	6	2	ones	2080	2259	2254	5	1	672	88	760	676	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_ones
spneumoniae	pseudosimplitigs	6	2	runs	2080	2259	2254	5	1	672	88	760	676	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_runs
spneumoniae	pseudosimplitigs	6	2	zeros	2080	2259	2080	179	77	672	196	868	756	spneumoniae.S_pseudosimplitigs.k_6.d_2.M_zeros
spneumoniae	pseudosimplitigs	6	3	default	2080	2297	2080	217	140	672	244	916	808	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_default
spneumoniae	pseudosimplitigs	6	3	ones	2080	2297	2292	5	1	672	88	760	680	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_ones
spneumoniae	pseudosimplitigs	6	3	runs	2080	2297	2292	5	1	672	88	760	680	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_runs
spneumoniae	pseudosimplitigs	6	3	zeros	2080	2297	2080	217	144	672	252	924	816	spneumoniae.S_pseudosimplitigs.k_6.d_3.M_zeros
spneumoniae	pseudosimplitigs	6	4	default	2080	2286	2080	206	142	668	248	916	796	spneumoniae.S_pseudosimplitigs.k_6.d_4.M_default
spneumoniae	pseudosimplitigs	6	4	ones	2080	2286	2281	5	1	668	88	756	672	spneumoniae.S_pseudosimplitigs.k_6.d_4.M_ones
